ringnr;recapture;capture_method;Sex;Age;age_nestling;day;month;year;time_hour;time_min;time_ringing;location;broodID;xCoord;yCoord;Wing;method_wing;P1;P8;Tarsus;tail;weight;Fat;Muscle;Bill_length;Bill_width;Bill_height;ringer;ring_owner;owner;salivary_swap;sex_genetics
N   630767;recapture;nestbox;;1;15;15;6;2020;10;20;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;36.3;NA;NA;NA;NA;NA;SD;SD;SOI;yes;NA
N   630767;recapture;nestbox;;1;22;22;6;2020;12;33;;Furkapass;Furka2_20;675328;158826;97;;NA;NA;22.7;NA;36.1;NA;NA;NA;NA;NA;;;SOI;;NA
N   630767;recapture;nestbox;0;1;17;17;6;2020;15;0;;Furkapass;Furka2_20;675328;158826;81;;NA;NA;NA;NA;38.4;1;NA;NA;NA;NA;fk;;SOI;;NA
N   630767;recapture;nestbox;;1;12;12;6;2020;14;13;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;34.3;NA;NA;NA;NA;NA;;;SOI;;NA
N   630767;first capture;nestbox;;1;2;2;6;2020;14;5;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;6.7;NA;NA;NA;NA;NA;;;SOI;;NA
N   630767;recapture;nestbox;;1;5;5;6;2020;17;6;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;15.3;NA;NA;NA;NA;NA;;;SOI;;NA
N   630767;recapture;nestbox;;1;8;8;6;2020;13;14;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;23.8;NA;NA;NA;NA;NA;;;SOI;;NA
N   630768;recapture;nestbox;;1;15;15;6;2020;10;15;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;33.4;NA;NA;NA;NA;NA;SD;SD;SOI;yes;M
N   630768;first capture;nestbox;;1;2;2;6;2020;14;9;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;6.2;NA;NA;NA;NA;NA;;;SOI;;M
N   630768;recapture;nestbox;;1;22;22;6;2020;12;49;;Furkapass;Furka2_20;675328;158826;98;;NA;NA;22.9;NA;36.3;NA;NA;NA;NA;NA;;;SOI;;M
N   630768;recapture;nestbox;0;1;17;17;6;2020;15;0;;Furkapass;Furka2_20;675328;158826;80;;NA;NA;NA;NA;38.5;1;NA;NA;NA;NA;fk;;SOI;;M
N   630768;recapture;nestbox;;1;12;12;6;2020;14;5;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;33.5;NA;NA;NA;NA;NA;;;SOI;;M
N   630768;recapture;nestbox;;1;8;8;6;2020;13;17;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;23.9;NA;NA;NA;NA;NA;;;SOI;;M
N   630768;recapture;nestbox;;1;5;5;6;2020;17;14;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;15.1;NA;NA;NA;NA;NA;;;SOI;;M
N   630769;recapture;nestbox;;1;15;15;6;2020;10;10;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;31.8;NA;NA;NA;NA;NA;SD;SD;SOI;yes;NA
N   630769;recapture;nestbox;;1;22;22;6;2020;12;39;;Furkapass;Furka2_20;675328;158826;97.5;;NA;NA;23.1;NA;38.8;NA;NA;NA;NA;NA;;;SOI;;NA
N   630769;first capture;nestbox;;1;2;2;6;2020;14;11;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;5.8;NA;NA;NA;NA;NA;;;SOI;;NA
N   630769;recapture;nestbox;;1;12;12;6;2020;14;0;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;31.2;NA;NA;NA;NA;NA;;;SOI;;NA
N   630769;recapture;nestbox;;1;8;8;6;2020;13;16;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;23.8;NA;NA;NA;NA;NA;;;SOI;;NA
N   630769;recapture;nestbox;0;1;17;17;6;2020;15;0;;Furkapass;Furka2_20;675328;158826;80.5;;NA;NA;NA;NA;38.4;1;NA;NA;NA;NA;fk;;SOI;;NA
N   630769;recapture;nestbox;;1;5;5;6;2020;17;16;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;15.2;NA;NA;NA;NA;NA;;;SOI;;NA
N   630770;first capture;nestbox;;1;2;2;6;2020;14;7;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;4.6;NA;NA;NA;NA;NA;;;SOI;;F
N   630770;recapture;nestbox;;1;12;12;6;2020;14;10;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;31.9;NA;NA;NA;NA;NA;;;SOI;;F
N   630770;recapture;nestbox;0;1;17;17;6;2020;15;0;;Furkapass;Furka2_20;675328;158826;76;;NA;NA;NA;NA;39;1;NA;NA;NA;NA;fk;;SOI;;F
N   630770;recapture;nestbox;;1;15;15;6;2020;10;6;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;38.4;NA;NA;NA;NA;NA;SD;SD;SOI;yes;F
N   630770;recapture;nestbox;;1;22;22;6;2020;12;45;;Furkapass;Furka2_20;675328;158826;93;;NA;NA;22.4;NA;39.9;NA;NA;NA;NA;NA;;;SOI;;F
N   630770;recapture;nestbox;;1;5;5;6;2020;17;9;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;12.5;NA;NA;NA;NA;NA;;;SOI;;F
N   630770;recapture;nestbox;;1;8;8;6;2020;13;19;;Furkapass;Furka2_20;675328;158826;NA;;NA;NA;NA;NA;22.2;NA;NA;NA;NA;NA;;;SOI;;F
N   630771;first capture;white mistnet;;4;NA;5;3;2021;10;9;;Distelboden;;664264;180276;124;;NA;92;22.5;NA;38;3;2;11.3;NA;NA;SD;SD;SOI;yes;M
N   630772;first capture;white mistnet;;4;NA;5;3;2021;10;14;;Distelboden;;664264;180276;115;;NA;90;21.8;NA;37;3;2;10.1;NA;NA;SD;SD;SOI;yes;F
N   630773;first capture;white mistnet;1;4;NA;5;3;2021;10;24;;Distelboden;;664264;180276;124;;NA;96.5;23.6;NA;39.5;2;2;11.4;NA;NA;SD;SD;SOI;yes;M
N   630774;first capture;white mistnet;;4;NA;5;3;2021;10;24;;Distelboden;;664264;180276;119;;NA;93.5;22.2;NA;34.5;3;2;11.4;NA;NA;SD;SD;SOI;yes;F
N   630775;first capture;white mistnet;;4;NA;5;3;2021;10;24;;Distelboden;;664264;180276;123.5;;NA;96.5;23.1;NA;41.5;3;2;11.3;NA;NA;SD;SD;SOI;yes;M
N   630776;first capture;white mistnet;;4;NA;5;3;2021;10;54;;Distelboden;;664264;180276;124;;NA;94;22.8;NA;41;3;2;10.8;NA;NA;CN;SD;SOI;yes;F
N   630777;first capture;white mistnet;;4;NA;5;3;2021;11;5;;Distelboden;;664264;180276;120;;NA;95;23;NA;39;3;2;11.5;NA;NA;CN;SD;SOI;yes;F
N   630778;first capture;white mistnet;;4;NA;5;3;2021;11;30;;Distelboden;;664264;180276;NA;;NA;NA;NA;NA;38;NA;NA;11.4;NA;NA;CN;SD;SOI;no;NA
N   630779;first capture;white mistnet;1;4;NA;15;3;2021;8;41;;Arosa;;769184;182582;121;;NA;92.5;22.6;NA;40;3;2;11.3;NA;NA;SD;SD;SOI;yes;M
N   630780;first capture;white mistnet;1;4;NA;15;3;2021;8;41;;Arosa;;769184;182582;121.5;;NA;94.5;22.8;NA;39;2;2;12;NA;NA;SD;SD;SOI;yes;F
N   630781;recapture;nestbox;;1;7;7;6;2020;13;2;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;14.2;NA;NA;NA;NA;NA;;;SOI;;M
N   630781;recapture;nestbox;;1;15;15;6;2020;9;58;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;41.8;NA;NA;NA;NA;NA;SD;SD;SOI;yes;M
N   630781;recapture;nestbox;;1;12;12;6;2020;14;21;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;28.1;NA;NA;NA;NA;NA;;;SOI;;M
N   630781;recapture;nestbox;;1;5;5;6;2020;16;43;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;12.1;NA;NA;NA;NA;NA;;;SOI;;M
N   630782;recapture;nestbox;;1;12;12;6;2020;14;26;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;24.8;NA;NA;NA;NA;NA;;;SOI;;F
N   630782;recapture;nestbox;;1;5;5;6;2020;16;36;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;9.9;NA;NA;NA;NA;NA;;;SOI;;F
N   630782;recapture;nestbox;;1;15;15;6;2020;9;52;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;31.7;NA;NA;NA;NA;NA;SD;SD;SOI;yes;F
N   630782;recapture;nestbox;;1;7;7;6;2020;13;6;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;16.6;NA;NA;NA;NA;NA;;;SOI;;F
N   630783;recapture;white mistnet;0;4;NA;1;4;2022;12;50;;Tiefenbach;;678407;160655;115;;NA;92;21.7;NA;41.5;3;2;10.8;7.4;7.7;SD;SD;SOI;no;F
